sort_col;country_col;sort_unique;country_unique
1;UK;1;UK
2;USA;2;USA
3;AUSTRALIA;3;AUSTRALIA
4;CANADA;4;BRAZIL
5;NETHERLANDS;5;CHINA
6;GERMANY;6;CANADA
7;ITALY;7;NETHERLANDS
8;SWITZERLAND;8;GERMANY
9;SPAIN;9;ITALY
10;FRANCE;10;SPAIN
11;CHINA;11;IRAN
12;JAPAN;12;DENMARK
13;BRAZIL;13;INDIA
14;DENMARK;14;SOUTH_AFRICA
15;BELGIUM;15;FRANCE
16;SOUTH_AFRICA;16;EGYPT
17;SWEDEN;17;SWITZERLAND
18;GREECE;18;JAPAN
19;NORWAY;19;IRELAND
20;EGYPT;20;SOUTH_KOREA
21;IRELAND;21;PORTUGAL
22;INDIA;22;BELGIUM
23;FINLAND;23;COLOMBIA
24;AUSTRIA;24;NORWAY
25;POLAND;25;MALAYSIA
26;PORTUGAL;26;TAIWAN
27;VIETNAM;27;THAILAND
28;CAMEROON;28;SWEDEN
29;NEW_ZEALAND;29;HONG_KONG
30;NIGERIA;30;NEW_ZEALAND
31;CHILE;31;GREECE
32;TURKEY;32;SINGAPORE
33;IRAN;33;FINLAND
34;GHANA;34;ETHIOPIA
35;ZIMBABWE;35;PAKISTAN
36;SINGAPORE;36;CHILE
37;CZECH_REPUBLIC;37;FIJI
38;MALAYSIA;38;LITHUANIA
39;COLOMBIA;39;POLAND
40;PAKISTAN;40;MEXICO
41;SAUDI_ARABIA;41;SAUDI_ARABIA
42;THAILAND;42;AUSTRIA
43;ETHIOPIA;43;HUNGARY
44;ISRAEL;44;QATAR
45;MEXICO;45;NIGERIA
46;SOUTH_KOREA;46;TURKEY
47;TAIWAN;47;LEBANON
48;HONG_KONG;48;ARGENTINA
49;INDONESIA;49;ISRAEL
50;KENYA;50;GHANA
51;UGANDA;51;CROATIA
52;HUNGARY;52;PERU
53;ROMANIA;53;PHILIPPINES
54;TANZANIA;54;ROMANIA
55;ARGENTINA;55;UNITED_ARAB_EMIRATES
56;QATAR;56;CAMEROON
57;BANGLADESH;57;CZECH_REPUBLIC
58;MALAWI;58;KENYA
59;NEPAL;59;UGANDA
60;CONGO;60;ZIMBABWE
61;JORDAN;61;EMIRATES
62;UNITED_ARAB_EMIRATES;62;NEPAL
63;RUSSIAN;63;SRI_LANKA
64;ZAMBIA;64;BANGLADESH
65;LEBANON;65;ECUADOR
66;MALTA;66;MALAWI
67;CROATIA;67;TANZANIA
68;CYPRUS;68;CYPRUS
69;ESTONIA;69;INDONESIA
70;ICELAND;70;MALTA
71;LITHUANIA;71;MOROCCO
72;LUXEMBOURG;72;URUGUAY
73;SLOVENIA;73;RUSSIAN_FEDERATION
74;SUDAN;74;SUDAN
75;MALI;75;VIETNAM
76;PERU;76;YEMEN
77;SENEGAL;77;BENIN
78;SYRIA;78;COSTA_RICA
79;ARMENIA;79;JAMAICA
80;BENIN;80;LAOS
81;BOTSWANA;81;SERBIA
82;BULGARIA;82;SLOVENIA
83;CHAD;83;SYRIA
84;LATVIA;;
85;NAMIBIA;;
86;SERBIA;;
87;ALBANIA;;
88;ALGERIA;;
89;BAHRAIN;;
90;COSTA_RICA;;
91;ECUADOR;;
92;IRAQ;;
93;MOROCCO;;
94;PHILIPPINES;;
95;RWANDA;;
96;SRI_LANKA;;
97;UKRAINE;;
98;BOSNIA_AND_HERZEGOVINA;;
99;CAMBODIA;;
100;DOMINICAN_REPUBLIC;;
101;GEORGIA;;
102;OMAN;;
103;SLOVAKIA;;
104;TUNISIA;;
105;BOLIVIA;;
106;BURMA;;
107;EL_SALVADOR;;
108;FIJI;;
109;HONDURAS;;
110;JAMAICA;;
111;LIECHTENSTEIN;;
112;PUERTO_RICO;;
113;URUGUAY;;
114;ZAIRE;;
115;AZERBAIJAN;;
116;BELARUS;;
117;BERMUDA;;
118;BHUTAN;;
119;MAURITIUS;;
120;MOLDOVA;;
121;MONACO;;
122;MONTENEGRO;;
123;NORTH_KOREA;;
124;SAINT_LUCIA;;
125;SAN_MARINO;;
126;SAO_TOME_AND_PRINCIPE;;
127;TRINIDAD_AND_TOBAGO;;
128;UZBEKISTAN;;
129;VENEZUELA;;
130;YEMEN;;
131;AFGHANISTAN;;
132;ANDORRA;;
133;ANTIGUA_AND_BARBUDA;;
134;BAHAMAS;;
135;BARBADOS;;
136;BELIZE;;
137;MACEDONIA;;
138;NICARAGUA;;
139;PANAMA;;
140;PAPUA_NEW_GUINEA;;
141;PARAGUAY;;
142;SAINT_HELENA;;
143;SAINT_KITTS_AND_NEVIS;;
144;SAINT_PIERRE_AND_MIQUELON;;
145;SAINT_VINCENT_AND_THE_GRENADINES;;
146;SAMOA;;
147;TONGA;;
148;KUWAIT;;
149;LAOS;;
150;GABON;;
151;BURKINA_FASO;;
152;NAIROBI;;
